dataset,sample_id,reference,hypothesis,wer
LibriSpeech-dev-clean,1272-128104-0000,mister quilter is the apostle of the middle classes and we are glad to welcome his gospel,mr quilter is the apostle of the middle classes and we are glad to welcome his gospel,0.0588
LibriSpeech-dev-clean,1272-128104-0001,nor is mister quilter s manner less interesting than his matter,nor is mr quilter s manner less interesting than his matter,0.0909
LibriSpeech-dev-clean,1272-128104-0002,he tells us that at this festive season of the year with christmas and roast beef looming before us similes drawn from eating and its results occur most readily to the mind,he tells us that at this festive season of the year with christmas and roast beef looming before us similes drawn from eating and its results occur most readily to the mind,0.0000
LibriSpeech-dev-clean,1272-128104-0003,he has grave doubts whether sir frederick leighton s work is really greek after all and can discover in it but little of rocky ithaca,he has grieved doubts whether sir frederick layton s work is really greek after all and can discover in it but little of rocky ithaca,0.0800
LibriSpeech-dev-clean,1272-128104-0004,linnell s pictures are a sort of up guards and at em paintings and mason s exquisite idylls are as national as a jingo poem mister birket foster s landscapes smile at one much in the same way that mister carker used to flash his teeth and mister john collier gives his sitter a cheerful slap on the back before he says like a shampooer in a turkish bath next man,lynille s pictures are sort of up guards and atom paintings and mason s exquisite idols are as national as a jingo poem mr burkett foster s landscapes smile at one much in the same way that mr carker used to flash his teeth and mr john collier gives his sitter a cheerful slap on the back before he says like a shampoo or a turkish bath next man,0.1549
LibriSpeech-dev-clean,1272-128104-0005,it is obviously unnecessary for us to point out how luminous these criticisms are how delicate in expression,it is obviously unnecessary for us to point out how luminous these criticisms are how delicate in expression,0.0000
LibriSpeech-dev-clean,1272-128104-0006,on the general principles of art mister quilter writes with equal lucidity,under general principles of art mr quilter writes with equal lucidity,0.2500
LibriSpeech-dev-clean,1272-128104-0007,painting he tells us is of a different quality to mathematics and finish in art is adding more fact,painting he tells us is of a different quality to mathematics and finish in art is adding more fact,0.0000
LibriSpeech-dev-clean,1272-128104-0008,as for etchings they are of two kinds british and foreign,as for etchings there are two kinds british and foreign,0.1818
LibriSpeech-dev-clean,1272-128104-0009,he laments most bitterly the divorce that has been made between decorative art and what we usually call pictures makes the customary appeal to the last judgment and reminds us that in the great days of art michael angelo was the furnishing upholsterer,he laments most bitterly the divorce that has been made between decorative art and what we usually call pictures makes the customary appeal to the last judgment and reminds us that in the great days of art michelangelo was the furnishing upholster,0.0698
