sample_id,learner_input,detected_errors,assessment_score,generated_feedback,relevance,correctness,pedagogy,comment
S01,I tink dis is my brudder.,"TH=3 (tink, dis, brudder)",50.0,"Great effort! I noticed the ""th"" sound in ""think"" and ""this"" came out as ""t"" and ""d"". To fix this, try placing your tongue gently between your teeth and blowing air out for a soft, buzzy sound.",,,,
S02,Free of dem went to see my muvver.,"TH=2 (free, muvver)",75.0,"Great effort! I noticed the ""th"" sound needs a little work—try placing your tongue gently between your teeth for words like ""free"" (which should be ""three"") and ""muvver"" (which should be ""mother""). Keep practicing that tip, and you'll hear improvement!",,,,
S03,Fanks for nuffing on my birfday.,"TH=3 (fanks, nuffing, birfday)",50.0,"Great effort! I noticed the ""th"" sound needs a little work, like in ""fanks"" instead of ""thanks."" Try putting your tongue gently between your teeth and blowing air out to make the sound. You're doing well—keep practicing!",,,,
S04,Dat is dese tings I like.,"TH=2 (dat, dese)",66.7,"Great effort! You're almost there with the ""th"" sound—try placing your tongue gently between your teeth for ""that"" and ""these."" Keep practicing, and it will feel natural in no time!",,,,
S05,I fink dose are wif me.,"TH=3 (fink, dose, wif)",50.0,"Great effort! I noticed you're working on the ""th"" sound in words like ""think,"" ""this,"" and ""with."" Try placing your tongue gently between your teeth and blowing air out to make the sound, like in ""think"" instead of ""fink.""",,,,
S06,We will wisit the willage.,"VW=2 (wisit, willage)",60.0,"Nice work on that sentence! I noticed you said ""wisit"" and ""willage"" — try using a soft buzzing sound for the ""v"" by gently placing your top teeth on your bottom lip. Keep practicing, you're doing great!",,,,
S07,Wery nice wictory today.,"VW=2 (wery, wictory)",50.0,"Great effort on those tricky V and W sounds! For ""wery"" and ""wictory,"" try pressing your top teeth gently on your bottom lip to make a buzzing ""v"" sound, like in ""victory."" Keep practicing, and this distinction will feel natural!",,,,
S08,I want a glass of wine.,VW=1 (wine),83.3,"You said ""wine"" with a W sound, but this word needs a V sound—like ""vine."" Try gently biting your bottom lip to make the V sound. You're doing well with your practice!",,,,
S09,Go to the west and say wow.,"VW=2 (west, wow)",71.4,"Nice work on that clear ""w"" sound! To sharpen the contrast, try pressing your top teeth lightly on your bottom lip for ""v"" sounds, like in ""very."" Keep practicing that lip-to-teeth contact for words starting with ""v.""",,,,
S10,Wery wery good wisit.,"VW=3 (wery, wery, wisit)",25.0,"Great effort today! I noticed you swapped the ""v"" sound for ""w"" in ""wery"" and ""wisit."" Try pressing your top teeth gently on your bottom lip to make the ""v"" sound—like in ""very"" and ""visit""—and you'll nail it next time.",,,,
S11,I wan the nex one firs.,"FINAL=3 (wan, nex, firs)",50.0,"Great effort! I noticed you dropped the final 't' in ""want"" and ""next,"" and the 't' in ""first."" Try to clearly pronounce those final 't' sounds by lightly tapping the tip of your tongue behind your top front teeth. You're doing well—keep practicing!",,,,
S12,Han me the col drink.,"FINAL=2 (han, col)",60.0,"Great effort! I noticed you dropped the final consonants in ""han"" and ""col."" Try to clearly pronounce the final /t/ sound in ""want"" and /kst/ in ""next"" to make them crisp.",,,,
S13,My frien saw the worl.,"FINAL=2 (frien, worl)",60.0,"Great effort! I noticed you dropped the final 'd' in ""frien"" and the final 'd' in ""worl."" Try to clearly pronounce those final consonants by lightly tapping your tongue on the roof of your mouth.",,,,
S14,Wan nex firs col han.,"FINAL=5 (wan, nex, firs, col, han)",0.0,"Great effort! I noticed you dropped the final consonants in words like ""wan"" (want) and ""nex"" (next). Try to clearly pronounce the ""t"" sound at the end of these words—think of it like a tiny tap with your tongue behind your teeth.",,,,
S15,Da ol lis is gone.,"FINAL=2 (ol, lis)",60.0,"Nice work on the sounds you produced! I noticed the final consonants were dropped in ""ol"" and ""lis""—try to add a clear /t/ at the end of ""ol"" and a /t/ or /s/ at the end of ""lis."" A helpful tip: practice saying the word slowly and really pop that last sound out.",,,,
S16,I tink I wan dis col drink.,"TH=2 (tink, dis); FINAL=2 (wan, col)",42.9,"Great effort! You're doing well with the overall flow. For the TH sound, try gently placing your tongue tip between your teeth and blowing air out—like a soft ""zzz"" but with your tongue forward. Keep practicing, you're making progress!",,,,
S17,Wery col wisit wif my brudder.,"TH=2 (wif, brudder); VW=2 (wery, wisit); FINAL=1 (col)",16.7,"Great effort! I noticed you're working on the ""th"" sound—try placing your tongue gently between your teeth and blowing air out, like in ""with"" and ""brother."" Keep practicing, you're making great progress!",,,,
S18,Free wictory for my frien.,TH=1 (free); VW=1 (wictory); FINAL=1 (frien),40.0,"Great effort on ""free"" and ""frien""! For the TH sound, try placing your tongue gently between your teeth and blowing air out, like in ""think."" Keep practicing—you're making excellent progress!",,,,
S19,Dat frien wisit me wif a wine.,"TH=2 (dat, wif); VW=2 (wisit, wine); FINAL=1 (frien)",28.6,"Great effort! I noticed you're working on the 'th' sound—try putting your tongue gently between your teeth for words like ""that"" and ""with."" Keep practicing, you're making nice progress!",,,,
S20,Tink of dese tin cans firs.,"TH=3 (tink, dese, tin); FINAL=1 (firs)",33.3,"Great effort on that sentence! I noticed the ""th"" sound was sometimes said as ""t"" — try putting your tongue gently between your teeth for words like ""think"" and ""this."" Keep practicing, you're making great progress!",,,,
S21,I think this is my brother.,none,100.0,Great job! Your pronunciation was clear and accurate with no errors. Keep up the excellent work—you're sounding very natural!,,,,
S22,We will visit the village.,none,100.0,Great job! Your pronunciation was clear and accurate with no errors detected. Keep up the excellent work by continuing to practice the rhythm and flow of each word.,,,,
S23,Very nice victory today.,none,100.0,Great job! Your pronunciation was clear and accurate on every word. Keep up the excellent work—just continue practicing the natural rhythm of the sentence.,,,,
S24,I want the next one first.,none,100.0,Great job! Your pronunciation was clear and accurate with no errors detected. Keep up the excellent work maintaining that natural flow and clarity.,,,,
S25,Hand me the cold drink please.,none,100.0,Great job! Your pronunciation was perfectly clear and error-free. Keep up the excellent work—you're nailing it!,,,,
S26,My friend saw the world map.,none,100.0,Great job! Your pronunciation is clear and accurate with no errors detected. Keep up the excellent work by continuing to practice reading aloud regularly.,,,,
